Crop_Type,Soil_Type,Soil_pH,Soil_Organic_Carbon,Total_Nitrogen,Available_Phosphorus,Available_Potassium,Bulk_Density,Rainfall,Temperature,Humidity,Wind_Speed,Evapotranspiration,Soil_Moisture_Level,Growth_Stage,Fertilizer_Type,Application_Rate,Application_Method,Coating_Type,Irrigation_Type,Water_Amount,Total_Fertilizer_Loss_kg_ha,Fertilizer_Loss_Percentage,Nitrogen_Loss,Phosphorus_Loss,Potassium_Loss
Citrus,Sandy,6.75,1.41,169.93,57.36,284.31,1.16,43.24,27.32,81.87,0.93,7.45,Medium,Late,NK,73.82,Foliar,Normal,Sprinkler,44.87,35.94,48.69,17.97,10.78,7.19
Rice,Sandy,6.04,2.48,93.62,34.14,279.26,1.44,48.89,38.46,63.4,3.91,6.54,High,Mid,NK,158.02,Drip,Biochar,Drip,69.08,46.77,29.6,23.38,14.03,9.35
Citrus,Loamy,8.4,1.94,250.76,61.11,351.62,1.43,48.85,22.55,59.88,3.15,2.1,High,Mid,NPK,145.28,Foliar,Controlled_Release,Drip,29.5,42.23,29.07,21.12,12.67,8.45
Wheat,Loamy,7.31,0.6,144,29.15,96.07,1.55,39.36,18.15,58.48,3.75,7.22,Low,Initial,NPK,177.31,Foliar,Biochar,Sprinkler,21.37,51.05,28.79,25.52,15.31,10.21
Citrus,Clay,7.94,2.22,274.15,67.24,332.51,1.36,9.39,16.95,80.98,4.44,4.48,Medium,Late,NPK,99.32,Broadcast,Biochar,Flood,17.63,26.7,26.88,13.35,8.01,5.34
Vegetable,Loamy,6.99,1.56,218.66,53.08,356.47,1.39,54.93,20.27,58.78,4.67,3.71,High,Mid,Organic,76.74,Broadcast,Biochar,Drip,14,37.44,48.79,18.72,11.23,7.49
Vegetable,Clay,7.67,1.41,94.15,67.52,330.71,1.36,103.66,36.49,46.96,5.08,7.17,Low,Late,PK,85.16,Broadcast,Controlled_Release,Sprinkler,29.6,50.03,58.75,25.02,15.01,10.01
Wheat,Loamy,8.41,2.02,210.49,13.83,193.65,1.44,51.05,38.38,69.83,2.83,5.36,Medium,Initial,NPK,97.65,Foliar,Controlled_Release,Sprinkler,47.96,37.62,38.53,18.81,11.29,7.52
Corn,Sandy,6.55,2.05,55.81,69.03,291.87,1.3,17.21,19.59,94.54,5.57,2.68,Medium,Late,Organic,117.37,Drip,Controlled_Release,Sprinkler,19.27,32.61,27.78,16.3,9.78,6.52
Vegetable,Sandy,7.01,2.09,251.84,17.1,336.11,1.41,36.86,37.24,75.39,4.04,6.42,High,Initial,PK,114.35,Foliar,Normal,Drip,76.34,39.98,34.96,19.99,11.99,8
Rice,Sandy,7.04,2.02,293.56,56.8,381.33,1.35,90.99,37.93,83.46,1.04,2.19,Medium,Initial,Urea,136.73,Broadcast,Normal,Flood,39.78,55.43,40.54,27.72,16.63,11.09
Wheat,Sandy,8.48,1.78,219.44,25.96,166.92,1.57,30.54,31.01,74.55,3.92,7.01,High,Late,Organic,107.14,Drip,Normal,Sprinkler,65.9,39.92,37.26,19.96,11.98,7.98
Citrus,Clay,6.2,1.85,281.62,13.27,122.56,1.31,7.09,25.85,74.62,5.35,4.15,Low,Late,PK,172.96,Broadcast,Biochar,Drip,57.9,41.05,23.73,20.52,12.32,8.21
Citrus,Sandy,7.53,2.22,123.7,28.16,314.82,1.16,6.53,27.53,79.96,2.07,3.43,Low,Late,NK,112.8,Drip,Biochar,Sprinkler,73,26.88,23.83,13.44,8.06,5.38
Rice,Clay,5.91,1.88,155.9,38.23,84.07,1.51,72.83,16.23,54.22,3.02,2.76,High,Late,Organic,163.18,Broadcast,Controlled_Release,Drip,42.44,52.34,32.08,26.17,15.7,10.47
Vegetable,Clay,8.28,0.7,156.15,20.08,246.97,1.35,107.74,25.74,70.49,1.97,5.86,High,Mid,NK,133.84,Drip,Controlled_Release,Drip,27.08,62.22,46.49,31.11,18.67,12.44
Wheat,Clay,7.27,1.79,78.01,16.97,351.15,1.18,31.21,33.33,77.02,4.76,7,Medium,Initial,PK,160.27,Drip,Biochar,Flood,16.59,43.27,27,21.64,12.98,8.65
Rice,Loamy,8.08,0.84,249.11,79.56,128.01,1.56,118.55,32.11,90.98,5.92,5.31,Medium,Late,Urea,196.07,Broadcast,Normal,Drip,64.04,76.03,38.78,38.02,22.81,15.21
Vegetable,Clay,8.19,0.53,173.77,15.55,185.81,1.16,26.43,16.07,43.07,3.98,4.48,High,Late,NPK,151.21,Broadcast,Controlled_Release,Flood,52.99,48.61,32.15,24.3,14.58,9.72
Wheat,Loamy,7.17,0.93,172.61,23.34,338.47,1.13,41.53,24.9,67.58,4.13,5.6,High,Late,NK,196,Broadcast,Controlled_Release,Flood,75.39,61.04,31.14,30.52,18.31,12.21
Citrus,Clay,7.55,0.81,217.12,27.7,225.77,1.23,56.11,38.67,48.72,1.37,2.88,Low,Mid,Urea,168.55,Drip,Biochar,Flood,29.71,54.2,32.16,27.1,16.26,10.84
Wheat,Loamy,7.6,0.7,92.75,32.2,112.23,1.43,12.9,37.88,45.9,2.34,5.61,Medium,Initial,NPK,151.03,Drip,Biochar,Flood,10.03,39,25.82,19.5,11.7,7.8
Corn,Loamy,6.88,0.93,252.54,19.19,79.38,1.16,35.18,22.71,87.77,2.7,6.79,High,Late,NPK,135.41,Broadcast,Controlled_Release,Drip,59.41,47.86,35.34,23.93,14.36,9.57
Wheat,Sandy,6.8,1.63,141.47,68.78,245.03,1.58,72.17,28.64,43.76,2.93,6.8,High,Mid,NPK,98.57,Foliar,Controlled_Release,Drip,29.14,45.02,45.67,22.51,13.51,9
Corn,Clay,6.06,0.8,69.91,74.73,57.61,1.37,1.45,32.75,62.41,4.77,4.71,Medium,Initial,NPK,161.29,Drip,Biochar,Flood,16.25,41.47,25.71,20.74,12.44,8.29
Wheat,Loamy,6.65,1.06,97.58,48.43,168.97,1.39,58.02,15.83,46.29,4.96,7.49,High,Initial,Organic,128.31,Broadcast,Normal,Drip,41.97,48.31,37.65,24.16,14.49,9.66
Corn,Sandy,8.47,2.2,113.21,49.69,264.22,1.58,79.13,21.64,48.98,4.23,6.02,Low,Initial,NPK,66.69,Drip,Controlled_Release,Drip,66.83,33.15,49.71,16.58,9.94,6.63
Citrus,Clay,6.31,2.28,94.49,79.56,51.91,1.33,35.8,30.87,77.23,3.75,6.5,Medium,Late,Urea,165.59,Broadcast,Controlled_Release,Sprinkler,34.11,41.91,25.31,20.96,12.57,8.38
Vegetable,Sandy,7.79,1.17,110.56,71.87,353.84,1.45,104.53,34.32,67.52,5.06,5.3,High,Initial,Urea,148.32,Broadcast,Normal,Drip,49.65,68.87,46.43,34.44,20.66,13.77
Corn,Loamy,5.68,2.3,298.96,38.52,384.94,1.12,33.27,19.14,63.39,2.83,3.58,Low,Mid,Organic,92.29,Broadcast,Normal,Sprinkler,13.76,29.55,32.02,14.78,8.86,5.91
Corn,Sandy,6.9,1.67,184.43,63.12,193.75,1.12,109.44,24.28,78.13,3.71,2.23,Medium,Initial,Organic,85.48,Broadcast,Biochar,Flood,77.4,50.5,59.08,25.25,15.15,10.1
Citrus,Sandy,5.68,0.95,200.73,28.57,64.24,1.47,99.99,17.49,50.38,3.26,5.84,Low,Initial,PK,112.24,Drip,Normal,Sprinkler,24.48,53.82,47.95,26.91,16.15,10.76
Corn,Clay,6.93,2.01,91.51,13.63,147.99,1.57,28.02,18.87,58.31,4.17,2.44,High,Initial,Organic,76.4,Foliar,Controlled_Release,Sprinkler,48.11,30.37,39.75,15.18,9.11,6.07
Rice,Loamy,5.58,2.34,61.01,11.55,282.06,1.46,7.56,18.02,94.06,4.09,5.12,Low,Mid,NPK,114.04,Drip,Normal,Drip,23.41,28.53,25.02,14.26,8.56,5.71
Citrus,Clay,7.34,1.82,127.59,47.73,64.96,1.18,3.79,37.12,44.55,1.8,6.93,High,Late,NPK,99.81,Drip,Normal,Sprinkler,51.58,29.92,29.98,14.96,8.98,5.98
Rice,Clay,7.26,0.9,242.45,44.98,348.96,1.51,93.12,28.56,84.63,0.68,2.62,Low,Mid,Urea,198.92,Broadcast,Biochar,Drip,12.13,65.68,33.02,32.84,19.7,13.14
Citrus,Sandy,7.89,0.67,189.7,20.55,331.16,1.4,67.44,15.34,88.28,3.61,7.07,Medium,Late,NK,136.37,Drip,Controlled_Release,Drip,37.01,52.8,38.72,26.4,15.84,10.56
Corn,Loamy,7.25,0.96,52.7,69.72,211.95,1.13,21.31,22.55,89.42,5.89,4.7,High,Late,Organic,125.37,Broadcast,Normal,Sprinkler,49.95,40.11,31.99,20.06,12.03,8.02
Rice,Clay,8.28,1.18,247.19,50.8,319.65,1.29,19.69,15.09,54.63,1.06,4.25,High,Late,PK,184.2,Broadcast,Normal,Drip,62.06,51.34,27.87,25.67,15.4,10.27
Corn,Loamy,7.85,1.17,76,36.71,109.52,1.49,45.34,26.53,89.05,2.72,3.04,Medium,Mid,NK,187.68,Broadcast,Normal,Sprinkler,74.96,58.95,31.41,29.48,17.68,11.79
Citrus,Clay,5.9,1.5,160.1,45.41,384.82,1.2,10.4,27.56,56.66,2.48,2.68,Medium,Mid,NK,88.53,Foliar,Controlled_Release,Drip,35.48,26.31,29.72,13.16,7.89,5.26
Corn,Sandy,6.3,1.51,299.87,16.82,224.24,1.51,82.95,27.01,56.04,2.21,3.21,Medium,Late,Urea,77.97,Drip,Controlled_Release,Sprinkler,60.14,44.32,56.84,22.16,13.3,8.86
Rice,Clay,5.58,1.44,80.34,72.99,394.8,1.39,113.89,30.45,80.21,4.57,4.83,High,Initial,NPK,171.85,Foliar,Controlled_Release,Sprinkler,46.47,68.25,39.71,34.12,20.47,13.65
Rice,Clay,6.66,1.19,253.76,30.34,234.26,1.33,49.69,32.61,74.65,5.84,6.48,Medium,Late,Organic,86.64,Broadcast,Normal,Flood,44.57,36.48,42.11,18.24,10.94,7.3
Corn,Clay,7.03,0.71,249.8,22.22,298.35,1.1,104.34,31.12,63.64,4.53,5.54,High,Late,Urea,121.13,Broadcast,Normal,Flood,26.24,62.84,51.88,31.42,18.85,12.57
Wheat,Loamy,8.34,1.34,161.26,39.82,329.9,1.23,39.25,39.17,67.32,2.16,5.22,Medium,Mid,NK,87.77,Broadcast,Controlled_Release,Drip,59.12,39.37,44.86,19.68,11.81,7.87
Citrus,Sandy,7.07,2.47,297.07,29.68,326.89,1.51,29.62,39.3,66.98,0.76,5.34,Low,Late,NPK,182.82,Drip,Normal,Sprinkler,51.6,47.74,26.11,23.87,14.32,9.55
Citrus,Loamy,7.84,1.81,126.99,31.54,307.86,1.15,40.12,20.22,60.74,3.8,3.16,Low,Mid,NPK,135.23,Drip,Controlled_Release,Sprinkler,64.29,40.94,30.27,20.47,12.28,8.19
Corn,Clay,6.3,1.38,128.95,67.71,97.85,1.35,25.06,17.34,66.6,1.35,6.09,Low,Late,PK,187.85,Drip,Biochar,Drip,73.61,46.46,24.73,23.23,13.94,9.29
Wheat,Sandy,5.96,0.67,88.1,48.29,193.09,1.12,28.39,27.52,57.25,4.2,6.99,Medium,Initial,Urea,84.08,Foliar,Biochar,Flood,51.12,31.82,37.84,15.91,9.55,6.36
Rice,Loamy,7.93,0.93,142.44,75.22,239.62,1.23,82.74,33.12,52.33,5.81,3.1,Medium,Initial,Organic,197.28,Foliar,Controlled_Release,Flood,32.32,63.42,32.15,31.71,19.03,12.68
Vegetable,Clay,6.24,1.65,124.1,76.53,297.91,1.18,103.77,39.4,85.62,4.82,4.85,High,Late,PK,198.09,Foliar,Controlled_Release,Drip,72.68,71.54,36.11,35.77,21.46,14.31
Vegetable,Sandy,8.11,1.5,201.12,79.41,188.57,1.31,45.73,26.12,90.77,3.93,3.78,Low,Late,NK,193.46,Broadcast,Biochar,Drip,58.73,52.4,27.09,26.2,15.72,10.48
Corn,Sandy,6.01,0.54,60.18,19.21,244.99,1.4,70.95,18.63,75.9,5.96,3.73,Low,Mid,Urea,72.02,Broadcast,Normal,Flood,43.7,43.55,60.47,21.78,13.06,8.71
Wheat,Clay,8.05,0.67,127.56,72.78,198.34,1.32,19.17,27.88,87.71,1.99,4.34,Low,Initial,NK,168.42,Drip,Controlled_Release,Sprinkler,53.73,46.67,27.71,23.34,14,9.33
Wheat,Sandy,7.82,1.21,51.18,30.62,299.73,1.51,90.78,23.16,56.51,4.06,3.38,High,Mid,NK,63.08,Broadcast,Normal,Sprinkler,30.31,48.9,77.52,24.45,14.67,9.78
Citrus,Sandy,7.33,0.78,51.58,54.05,77.73,1.18,10.65,23.49,47.34,2.28,2.78,Low,Initial,NK,151.89,Broadcast,Controlled_Release,Drip,33.82,40.69,26.79,20.34,12.21,8.14
Rice,Loamy,8.05,2.42,255.07,71.45,299.97,1.41,21.42,26.84,54.61,0.63,3.97,Low,Mid,Urea,143.95,Drip,Normal,Flood,57.17,36.79,25.56,18.4,11.04,7.36
Wheat,Sandy,6.49,0.57,237.45,16.5,343.54,1.53,50.11,18.47,52.76,3.19,2.77,High,Mid,NPK,140.98,Foliar,Biochar,Drip,67.45,55.6,39.44,27.8,16.68,11.12
Vegetable,Loamy,6,2.45,236.04,20.63,54.44,1.4,14.13,16.72,53.86,5.11,3.76,High,Late,NPK,71.17,Drip,Controlled_Release,Flood,66.86,22.55,31.68,11.28,6.76,4.51
Rice,Loamy,5.97,1.81,138.41,61.32,237.09,1.32,107.54,30.04,47.62,2.61,7.31,Low,Mid,NPK,171.15,Drip,Controlled_Release,Flood,12.51,63.22,36.94,31.61,18.97,12.64
Rice,Loamy,6.31,1.31,224.81,34.27,137.7,1.47,59.09,22.09,75.59,2.26,6.3,High,Late,NK,97.98,Foliar,Controlled_Release,Sprinkler,25.88,39.89,40.71,19.94,11.97,7.98
Corn,Loamy,6.84,1.58,114.13,55.85,201.36,1.15,34.24,32.95,87.89,4.58,7.13,High,Initial,NPK,173.05,Broadcast,Biochar,Drip,27.33,45.86,26.5,22.93,13.76,9.17
Wheat,Sandy,8.13,1.32,127.35,17.98,310.96,1.58,16.66,31.86,78.45,2.09,7.46,High,Mid,NPK,91.48,Drip,Normal,Sprinkler,31.78,35.68,39,17.84,10.7,7.14
Corn,Sandy,5.77,1.65,190.62,78.07,321.38,1.27,20.35,34.54,71.49,4.39,7.57,High,Mid,PK,181.3,Drip,Biochar,Sprinkler,47.8,47.7,26.31,23.85,14.31,9.54
Wheat,Loamy,8.25,0.8,224.91,45.09,190.57,1.2,87.62,16.3,49.47,5.94,5.47,Low,Late,Urea,185.25,Drip,Biochar,Drip,33.59,65.54,35.38,32.77,19.66,13.11
Citrus,Sandy,8.28,0.74,116.43,70.94,82.04,1.58,105.78,16.54,64.71,1.75,4.32,High,Mid,NPK,87.01,Drip,Controlled_Release,Drip,49.76,52.46,60.29,26.23,15.74,10.49
Corn,Loamy,7.68,1.56,219.82,57.25,263.32,1.1,77.33,15.4,60.92,5.73,7.37,High,Late,Urea,121.41,Drip,Controlled_Release,Flood,16.24,48.14,39.65,24.07,14.44,9.63
Corn,Loamy,8.2,0.64,290.62,76.62,147.69,1.49,42.83,26.42,51.03,5.58,2.88,Low,Initial,NK,164,Broadcast,Controlled_Release,Drip,27.36,49.88,30.41,24.94,14.96,9.98
Vegetable,Loamy,7.81,1.08,173.46,49.94,90.67,1.31,31.31,18.71,52.9,1.98,4.41,Low,Mid,NK,116.47,Drip,Controlled_Release,Sprinkler,76.54,34.83,29.9,17.42,10.45,6.97
Corn,Clay,7.08,2.35,151.78,31.45,160.19,1.51,58.46,35.7,65.22,3.2,3.82,High,Initial,NPK,72.55,Drip,Biochar,Flood,61.11,32.96,45.43,16.48,9.89,6.59
Wheat,Sandy,7.3,2.25,108.12,52.95,253.12,1.53,36.16,29.66,74.94,1.42,4.11,Medium,Initial,NPK,160.7,Drip,Biochar,Sprinkler,26.32,43.63,27.15,21.82,13.09,8.73
Vegetable,Sandy,7.38,2.16,139.04,79.78,367.97,1.26,59.47,21.14,45.65,3.07,4.51,High,Mid,NPK,199.31,Broadcast,Biochar,Drip,27.89,54.18,27.18,27.09,16.25,10.84
Corn,Loamy,5.88,1.51,182.21,67.07,125.43,1.54,1.35,31.21,60.02,3.6,6.89,Medium,Late,PK,182.27,Broadcast,Controlled_Release,Drip,27.9,43.87,24.07,21.94,13.16,8.77
Corn,Sandy,6.08,0.56,286.03,41.85,317.38,1.59,105.89,39.89,68.82,3.82,3.17,Medium,Late,NK,73.55,Foliar,Biochar,Sprinkler,62.5,53.32,72.49,26.66,16,10.66
Citrus,Loamy,7.07,0.74,115.19,67.16,351.8,1.57,70.61,22.85,70,5.06,7.02,High,Late,Urea,76.99,Foliar,Normal,Sprinkler,74.01,47.62,61.85,23.81,14.29,9.52
Corn,Sandy,5.85,2.34,107.87,59.2,101.79,1.36,58.79,15.48,55.87,4.26,5.73,Low,Mid,Urea,70.45,Foliar,Biochar,Drip,44.89,26.2,37.19,13.1,7.86,5.24
Rice,Loamy,8.39,2.17,290.15,75.71,51.95,1.2,57.61,21.61,74.44,3.63,4.62,High,Late,NPK,197.19,Foliar,Biochar,Drip,39.05,55.39,28.09,27.7,16.62,11.08
Vegetable,Loamy,7.02,1.25,201.46,35.54,380.87,1.5,91.8,15.67,56.57,3.93,7.98,Low,Mid,Urea,122.16,Broadcast,Biochar,Sprinkler,47.97,49.25,40.32,24.62,14.77,9.85
Rice,Clay,6.64,1.96,233.82,12.83,84.4,1.57,65.6,31.17,41.08,1.96,4.99,Low,Mid,NK,137.31,Foliar,Biochar,Drip,52.7,44.68,32.54,22.34,13.4,8.94
Vegetable,Loamy,5.97,2.21,257.42,16.05,106.47,1.58,76.93,34.83,81.73,2.96,5.4,Medium,Late,Urea,156.41,Foliar,Biochar,Sprinkler,50.93,56.99,36.44,28.5,17.1,11.4
Citrus,Clay,6.75,1.74,70.45,63.72,192.73,1.54,95.65,36.8,63.18,4.61,7.71,High,Mid,Organic,107.92,Drip,Controlled_Release,Sprinkler,71.19,52.2,48.37,26.1,15.66,10.44
Corn,Sandy,6.41,2.21,171.2,58.39,153.26,1.21,102.65,35.86,93.78,4.05,3.74,High,Late,Urea,76.57,Drip,Biochar,Flood,79.58,45.69,59.67,22.84,13.71,9.14
Corn,Sandy,5.76,0.99,85.03,61.34,393.49,1.42,66.26,38.08,47.58,4.79,2.2,High,Mid,PK,87.57,Foliar,Controlled_Release,Drip,13.59,49,55.96,24.5,14.7,9.8
Corn,Clay,8.4,1.42,206.08,56.74,338.98,1.56,70.11,33.51,62.48,4.24,7.28,Medium,Initial,NPK,179.86,Drip,Controlled_Release,Sprinkler,61.48,53.81,29.92,26.9,16.14,10.76
Vegetable,Sandy,6.29,1.66,288.43,42,277.15,1.34,82.16,15.04,72.02,4.08,7.69,Low,Initial,NPK,173.08,Foliar,Biochar,Flood,18.15,55.97,32.34,27.98,16.79,11.19
Corn,Clay,7.57,1.76,64.06,14.77,59.26,1.51,56.67,32.18,68.79,0.7,5.54,Low,Initial,Urea,60.99,Drip,Normal,Flood,37.65,30.69,50.32,15.34,9.21,6.14
Rice,Sandy,5.77,2.47,118.53,68.49,134.73,1.15,108.38,30.89,53.77,2.13,2.99,Medium,Late,PK,156.9,Foliar,Normal,Sprinkler,59.61,59.33,37.81,29.66,17.8,11.87
Corn,Clay,8.24,2.19,299.92,22.65,117.62,1.49,65.24,20.97,90.56,1.21,4.5,High,Mid,Organic,143.45,Foliar,Biochar,Sprinkler,37.04,44.7,31.16,22.35,13.41,8.94
Citrus,Clay,7.27,0.61,51.37,79.29,141.3,1.13,110.91,39.76,68.38,0.73,4.72,Medium,Mid,NK,96.19,Drip,Biochar,Sprinkler,17.13,58.26,60.57,29.13,17.48,11.65
Rice,Loamy,7.47,0.84,84.89,24.38,382.27,1.38,96.43,29.6,86.49,5.77,2.7,Low,Initial,NK,172.57,Foliar,Normal,Drip,16.98,65.02,37.68,32.51,19.51,13
Corn,Sandy,7.85,1.81,70.19,15.86,192.33,1.31,43.6,24.66,81.16,4.42,3.51,Low,Late,NPK,173.92,Foliar,Biochar,Drip,49.8,47.42,27.27,23.71,14.23,9.48
Corn,Loamy,7.32,0.98,241.02,36.29,355.9,1.19,79.67,23.81,62.46,4.59,7.76,Low,Late,NPK,193.95,Foliar,Controlled_Release,Flood,36.02,62.94,32.45,31.47,18.88,12.59
Wheat,Clay,5.71,0.82,237.73,32.78,215.57,1.32,86.03,31.64,76.98,2.67,7.79,Low,Mid,Urea,188.68,Foliar,Normal,Sprinkler,79.23,66.61,35.3,33.3,19.98,13.32
Vegetable,Loamy,6.79,1.83,244.4,78.36,282.28,1.46,56.12,27.26,46.52,2.64,5.21,Low,Mid,Organic,189.42,Foliar,Controlled_Release,Sprinkler,76.23,56.12,29.63,28.06,16.84,11.22
Rice,Clay,6.29,1.57,243.71,37.62,379.5,1.48,84.78,33.88,92.52,0.72,4.78,Low,Mid,NPK,128.5,Drip,Normal,Drip,32.32,51.17,39.82,25.58,15.35,10.23
Wheat,Sandy,6.96,2.11,258.81,13.26,253.8,1.56,28.9,16.59,74.05,0.78,5.21,Low,Initial,Organic,157.74,Drip,Normal,Drip,39.78,40.6,25.74,20.3,12.18,8.12
Citrus,Sandy,6.71,1.14,243.22,79.1,174.82,1.45,34.69,21.68,46.22,1.29,2.75,Medium,Late,NPK,171.45,Drip,Normal,Drip,14,50.31,29.34,25.16,15.09,10.06
Vegetable,Sandy,7.98,1.16,170.89,65.05,215.47,1.6,77.25,18.96,85.45,5.74,5.85,Low,Late,Urea,191.95,Foliar,Controlled_Release,Sprinkler,53.64,60.29,31.41,30.14,18.09,12.06
Rice,Clay,6.24,0.8,236.37,79.86,214.06,1.24,57.94,16.88,83.76,2.1,7.19,Medium,Mid,NPK,141.32,Broadcast,Biochar,Flood,42.8,51.28,36.29,25.64,15.38,10.26
Corn,Loamy,6.1,1.8,199.4,32.23,330.01,1.18,46,19.1,61.95,0.55,4.35,Low,Late,PK,95.05,Broadcast,Controlled_Release,Sprinkler,15.77,37.92,39.89,18.96,11.38,7.58
Rice,Sandy,8.37,1.92,141.63,18.24,167.51,1.15,8,32.79,47.89,5.55,2.99,Low,Mid,PK,199.11,Broadcast,Normal,Sprinkler,45.08,46.64,23.42,23.32,13.99,9.33
Corn,Clay,8.35,0.78,259.14,37.84,65.03,1.39,118.07,22.46,60.92,4.49,6.4,Medium,Late,NK,190.89,Foliar,Normal,Drip,53.84,74.01,38.77,37.01,22.2,14.8
Vegetable,Loamy,8.48,1.01,247.01,19.8,285.59,1.27,27.35,16.42,73.62,3.61,2.34,High,Initial,Organic,75.3,Foliar,Controlled_Release,Sprinkler,26.07,29.1,38.65,14.55,8.73,5.82
Corn,Clay,7.21,0.81,93.37,20.28,349.28,1.2,74.69,21.64,87.62,1.57,4.71,Low,Mid,NK,77.59,Drip,Biochar,Drip,23.99,38.42,49.52,19.21,11.53,7.68
Citrus,Clay,5.84,2,56.11,73.19,225.45,1.21,95.06,32.99,54.22,4.05,7.53,Low,Initial,NPK,195.57,Drip,Normal,Sprinkler,43.29,64.66,33.06,32.33,19.4,12.93
Corn,Sandy,8.14,0.92,128.99,79.57,98.99,1.27,60.96,23.51,61.42,1.98,2.48,High,Initial,PK,152.12,Drip,Biochar,Sprinkler,65.08,53.66,35.27,26.83,16.1,10.73
Citrus,Clay,5.94,0.8,150.94,79.61,100.74,1.44,69.5,39.39,92.56,4.18,7,Medium,Initial,Urea,116.89,Broadcast,Biochar,Flood,60.57,48.38,41.39,24.19,14.51,9.68
Vegetable,Clay,5.97,0.64,93.59,40.69,362.23,1.4,63.77,18.83,83.62,4.38,4.46,High,Initial,Organic,190.49,Foliar,Normal,Sprinkler,26.69,60.07,31.53,30.04,18.02,12.01
Vegetable,Loamy,6.08,2.16,263.78,26.75,75.61,1.5,76.38,34.78,68.68,2.02,3.04,Low,Late,NPK,65.2,Drip,Normal,Drip,75.05,33.54,51.44,16.77,10.06,6.71
Rice,Sandy,7.46,0.75,58.4,22.04,226.01,1.26,49.96,34.19,62.35,1.86,4.64,Medium,Mid,Organic,130.04,Drip,Controlled_Release,Sprinkler,47.5,47.55,36.57,23.78,14.26,9.51
Citrus,Clay,5.82,0.56,170.9,36.75,165.74,1.46,42.73,21.91,77.29,4.23,3.92,High,Mid,NK,150.69,Drip,Controlled_Release,Sprinkler,35.57,47.68,31.64,23.84,14.3,9.54
Citrus,Clay,7.83,0.63,63.87,51.93,146.32,1.53,118.22,31.07,85.78,4.69,3.25,High,Initial,Urea,61.14,Broadcast,Controlled_Release,Flood,49.07,52.86,86.46,26.43,15.86,10.57
Wheat,Loamy,5.67,1.23,184.16,62.05,110.27,1.52,44.82,24.81,46.51,1.35,7.42,High,Mid,PK,97.7,Broadcast,Controlled_Release,Drip,79.88,40.62,41.58,20.31,12.19,8.12
Wheat,Clay,5.83,1.69,165.91,46.15,154.91,1.43,53.56,24.9,91.05,5.93,4.36,Medium,Initial,PK,146.12,Broadcast,Controlled_Release,Flood,30.68,46.99,32.16,23.5,14.1,9.4
Wheat,Clay,6.8,1.3,245.04,68.99,300.51,1.52,19.45,17.03,50.15,0.75,3.66,High,Initial,Urea,61.43,Foliar,Biochar,Flood,29.96,22.74,37.02,11.37,6.82,4.55
Corn,Clay,6.64,1.41,222.42,74.38,259.16,1.14,99.26,15.73,79.1,1,4.93,Low,Late,NPK,187.38,Foliar,Biochar,Drip,66.44,60.84,32.47,30.42,18.25,12.17
Wheat,Clay,8.47,2.34,260.99,72,78.93,1.34,92.84,26.23,47.64,2.24,2.14,Low,Late,PK,183.1,Foliar,Biochar,Sprinkler,24.33,58.03,31.69,29.02,17.41,11.61
Citrus,Clay,8.4,2.02,186.09,35.84,313.85,1.24,87.83,28.14,45.91,1.69,2.66,High,Initial,NK,181.19,Drip,Normal,Sprinkler,32.69,60.5,33.39,30.25,18.15,12.1
Corn,Loamy,6.07,1.18,255.61,76.54,174.08,1.34,104.25,30.9,49.83,0.84,3.22,Medium,Late,NPK,60.02,Foliar,Biochar,Sprinkler,24.95,45.04,75.04,22.52,13.51,9.01
Vegetable,Clay,8.34,0.81,229.78,74.62,126.03,1.16,2.23,27.22,41.98,5.46,7.58,High,Mid,NK,131.37,Foliar,Controlled_Release,Sprinkler,52.45,38.93,29.63,19.46,11.68,7.79
Rice,Clay,7.58,2,244.88,38.82,336.11,1.16,2.16,31.26,91.16,1.4,7.37,Low,Late,PK,179.71,Broadcast,Controlled_Release,Drip,23.5,40.23,22.39,20.11,12.07,8.05
Wheat,Clay,6.73,1.65,200.17,39.49,272.57,1.16,117.25,18.77,46.52,2.12,5.68,Low,Initial,Urea,151.6,Drip,Normal,Drip,16.27,59.75,39.41,29.88,17.92,11.95
Vegetable,Clay,7.72,2.42,229.89,15.46,302.84,1.15,23.05,21.57,83.5,2.59,6.02,Low,Late,NPK,73.31,Drip,Controlled_Release,Flood,74.91,21.34,29.11,10.67,6.4,4.27
Citrus,Sandy,8.2,2.32,150.43,75.59,157,1.34,106.47,22.59,80.48,0.56,2.57,Low,Initial,Organic,145.69,Drip,Normal,Drip,45.38,55.56,38.14,27.78,16.67,11.11
Rice,Sandy,6.04,1.63,71.25,16.19,312.11,1.16,95.35,16.49,77.26,1.04,3.32,Low,Late,NK,149.71,Broadcast,Biochar,Flood,69.59,51.84,34.63,25.92,15.55,10.37
Vegetable,Sandy,6.09,0.64,154.15,44.38,146.39,1.52,62.38,27.83,91.19,3.15,7,Low,Late,Urea,134.98,Drip,Normal,Flood,39.89,55.24,40.92,27.62,16.57,11.05
Rice,Sandy,6.73,0.56,93.35,60.5,288.02,1.24,5.16,24.88,93.64,1.91,7.82,Medium,Initial,PK,192.18,Broadcast,Controlled_Release,Sprinkler,56.38,50.85,26.46,25.42,15.26,10.17
